time_s,current_nA,label
0.0,0.273192784156178,0
0.01,-0.0052758639685435,0
0.02,0.3436969458851652,0
0.03,0.8971326326833975,0
0.04,0.0997720246596597,0
0.05,-0.0995169728719596,0
0.06,0.8163757912108247,0
0.07,0.6130909798184868,0
0.08,-0.0963854671948894,0
0.09,0.2652317998754349,0
0.1,-0.1800400373588902,0
0.11,-0.2925468392806876,0
0.12,0.0562397926132985,0
0.13,-1.0042636646089471,0
0.14,-1.1690375012622034,0
0.15,-0.5910469767610202,0
0.16,-0.6864372608331012,0
0.17,-0.0035264184484327,0
0.18,-0.4836588584336628,0
0.19,-0.8721962144808616,0
0.2,0.5633228802399136,0
0.21,0.0215016594023507,0
0.22,0.0422837405456031,0
0.23,-0.7471680505991347,0
0.24,-0.4756629824872765,0
0.25,-0.0587711526178718,0
0.26,-0.6265205768566507,0
0.27,0.0446015061311343,0
0.28,-0.3075092380221704,0
0.29,-0.2309704564639572,0
0.3,-0.3768861170870515,0
0.31,0.8935106857157991,0
0.32,0.2175611952951184,0
0.33,-0.507464333425759,0
0.34,0.312624131812861,0
0.35,-0.5704877012596792,0
0.36,-0.0298538038059592,0
0.37,-1.0494734816321123,0
0.38,-0.9680484893532988,0
0.39,-0.13550845811502,0
0.4,0.3610928721420369,0
0.41,0.1832857994794985,0
0.42,-0.0139699884466793,0
0.43,-0.1620030668894679,0
0.44,-0.8259856297781434,0
0.45,-0.5879162330323842,0
0.46,-0.3903204565905888,0
0.47,0.4673820639310581,0
0.48,0.3018841298540488,0
0.49,-0.8613177469378938,0
0.5,-0.0406087278282506,0
0.51,-0.2130450671779445,0
0.52,-0.4115266751583686,0
0.53,0.2251192865859244,0
0.54,0.6076275661259006,0
0.55,0.6501929450212888,0
0.56,-0.2819756420984394,0
0.5700000000000001,-0.2327289845993895,0
0.58,0.1207009997800548,0
0.59,0.5522035851408309,0
0.6,-0.1145676504708361,0
0.61,-0.1249108477426776,0
0.62,-0.6177466327629914,0
0.63,-0.7887729974690576,0
0.64,0.2382335660018265,0
0.65,0.784574564726495,0
0.66,0.1606087190571772,0
0.67,0.5774241835307888,0
0.68,0.3398377612392507,0
0.6900000000000001,-0.2556493477507517,0
0.7000000000000001,0.1315261405775601,0
0.71,0.8549651504010137,0
0.72,0.1977300454739488,0
0.73,0.885770130008403,0
0.74,-1.1705118011945297,0
0.75,0.1482586429065165,0
0.76,0.0866572540244097,0
0.77,-0.1342882704605184,0
0.78,0.0186155282781588,0
0.79,-1.0504324032075982,0
0.8,-0.3761845791949511,0
0.81,0.0995778018633293,0
0.8200000000000001,0.8154163857753941,0
0.8300000000000001,-0.0686093326277555,0
0.84,-0.4441275430113312,0
0.85,-0.3746166877350724,0
0.86,0.3974905670899068,0
0.87,0.2781474517505845,0
0.88,-0.2088334415027834,0
0.89,0.2249126646548237,0
0.9,0.111755811183008,0
0.91,0.5476493348641295,0
0.92,-0.2330404535286455,0
0.93,-0.2287941533249871,0
0.94,-0.2620099609351953,0
0.95,-0.8408333711188749,0
0.96,-0.0484291254831125,0
0.97,0.1310409694277533,0
0.98,0.0396528473028851,0
0.99,-0.1108008052289604,0
1.0,-0.7771806840268656,0
1.01,-0.4140069627089578,0
1.02,-0.281670253853222,0
1.03,-0.4932770440656103,0
1.04,-0.2047857888281634,0
1.05,0.1684410316405548,0
1.06,1.0510792117765664,0
1.07,0.3602895609597964,0
1.08,0.2318203439176479,0
1.09,0.0229456926366937,0
1.1,-1.0113987559190958,0
1.11,-0.2622488335256193,0
1.12,-0.0287246993740276,0
1.13,1.3093871557043282,0
1.14,0.229755349225165,0
1.15,0.2229133334725179,0
1.16,0.0421753837264788,0
1.17,-0.6068436980741014,0
1.18,0.461899493084652,0
1.19,0.5209650877310434,0
1.2,0.5565954031950527,0
1.21,-0.3399878538549328,0
1.22,0.6672269010682732,0
1.23,-0.5744994575276479,0
1.24,0.1741684341234164,0
1.25,1.2153504527469556,0
1.26,-0.218301895738847,0
1.27,-0.3507506302279118,0
1.28,-0.0291791105292874,0
1.29,-0.2699302430070185,0
1.3,-0.8877400282331458,0
1.31,-0.179855040359487,0
1.32,-0.6050677638350148,0
1.33,0.1065901895659911,0
1.34,-0.4572833868555468,0
1.35,0.71681099753628,0
1.36,-0.232127651079833,0
1.37,-0.2237190987483896,0
1.38,0.383161053066451,0
1.39,-0.5537817051908073,0
