time_s,current_nA,label
0.0,4.322864199457301,1
0.01,3.929661971293505,1
0.02,4.416018789207055,1
0.03,5.013146982441941,1
0.04,3.908863331833093,1
0.05,3.8426169651236486,1
0.06,5.015196003081993,1
0.07,4.558845625934555,1
0.08,3.7289221669782755,1
0.09,4.335763990752164,1
0.1,3.7194670266767935,1
0.11,3.6809890768897837,1
0.12,4.137851470027655,1
0.13,2.7668794853790493,1
0.14,2.8068361514685733,1
0.15,3.5635817446476263,1
0.16,3.3166607573074933,1
0.17,4.162892410746832,1
0.18,3.4206212415986856,1
0.19,3.0488937537972602,1
0.2,4.893888969854797,1
0.21,3.907143139317955,1
0.22,4.038242842171262,1
0.23,3.0778767078357974,1
0.24,3.5914613335856327,1
0.25,4.047457466884386,1
0.26,3.2560494993569016,1
0.27,4.199126718880919,1
0.28,3.6222358355663955,1
0.29,3.788074802163254,1
0.3,3.5968798216571054,1
0.31,5.177624489786705,1
0.32,4.061900079298707,1
0.33,3.3174405385023813,1
0.34,4.492737379927695,1
0.35000000000000003,3.237445545252533,1
0.36,4.089763478731949,1
0.37,2.733895109502379,1
0.38,3.0622681535664062,1
0.39,4.071465357214094,1
0.4,4.483426413523112,1
0.41000000000000003,4.140194285919531,1
0.42,3.9333757040905453,1
0.43,3.8006377490704253,1
0.44,3.0287304016264955,1
0.45,3.474668065728273,1
0.46,3.6696043161095475,1
0.47000000000000003,4.666067757846299,1
0.48,4.26291355780866,1
0.49,2.8718633292950044,1
0.5,4.142586859744051,1
0.51,3.7587026818052975,1
0.52,3.546315573534601,1
0.53,4.369652215643578,1
0.54,4.6911214655186,1
0.55,4.645708785210184,1
0.56,3.4942339068103596,1
0.5700000000000001,3.769028094773113,1
0.58,4.201074988434275,1
0.59,4.645026415034619,1
0.6,3.727799469641666,1
0.61,3.86320705020131,1
0.62,3.273970268900152,1
0.63,3.1803047341097272,1
0.64,4.478008556257385,1
0.65,4.9086483004158845,1
0.66,4.007796646803439,1
0.67,4.651588990320961,1
0.68,4.273735260061189,1
0.6900000000000001,3.597851745759848,1
0.7000000000000001,4.210355034231508,1
0.71,5.01054394499973,1
0.72,4.037387665537151,1
0.73,5.017429352591946,1
0.74,2.3612793088372275,1
0.75,4.434950893419325,1
0.76,4.082575711064208,1
0.77,3.8109499188838405,1
0.78,4.048194042974147,1
0.79,2.7132994004037547,1
0.8,3.7802684847704158,1
0.81,4.218521082142256,1
0.8200000000000001,4.972011698948226,1
0.8300000000000001,3.722051982937488,1
