time_s,current_nA,label
0.0,4.051244543784288,2
0.01,4.205604950316368,2
0.02,4.281688336632158,2
0.03,3.891450077820424,2
0.04,3.8495435639829836,2
0.05,4.049540213231123,2
0.06,4.163028900697096,2
0.07,3.925199890870301,2
0.08,4.050517180731371,2
0.09,4.304679599212795,2
0.1,3.997598364852878,2
0.11,3.442448578166068,2
0.12,4.000846316700452,2
0.13,4.090105031579679,2
0.14,3.9515307518818763,2
0.15,3.8171060860604693,2
0.16,3.8769854101851413,2
0.17,4.1842369824055,2
0.18,3.738047379704292,2
0.19,3.6506436485486464,2
0.2,4.154195278260676,2
0.21,4.372413745632219,2
0.22,4.544639267804041,2
0.23,4.6056873540513905,2
0.24,4.633086791683586,2
0.25,4.437130794761584,2
0.26,4.235259105021435,2
0.27,4.4401334363309,2
0.28,4.243233928087748,2
0.29,4.299328375439297,2
0.3,4.312386516629605,2
0.31,4.9021719353639135,2
0.32,4.766502544256069,2
0.33,5.020911167157646,2
0.34,5.11921969650144,2
0.35000000000000003,4.974079483476143,2
0.36,4.524214554692925,2
0.37,4.456787017386763,2
0.38,4.665887561833294,2
0.39,4.252273161978053,2
0.4,4.463826107897941,2
0.41000000000000003,4.797921527558424,2
0.42,4.7453309073173235,2
0.43,4.92967406971144,2
0.44,4.87644474537472,2
0.45,4.950688878186118,2
0.46,5.278793749796146,2
0.47000000000000003,4.7106288065089705,2
0.48,4.422757657335779,2
0.49,4.7348355015027535,2
0.5,5.067962417256199,2
0.51,4.562260728266949,2
0.52,4.94867968306846,2
0.53,4.125051488795885,2
0.54,4.2897936369047525,2
0.55,4.322804914862243,2
0.56,4.082812768465731,2
0.5700000000000001,3.884263381842187,2
0.58,3.716013104324131,2
0.59,3.6865696087814914,2
0.6,4.280612935152563,2
0.61,4.4857603040649145,2
0.62,4.843591745724419,2
0.63,4.667978956091211,2
0.64,4.666419960234973,2
0.65,4.296164736655367,2
0.66,4.187656957045107,2
0.67,4.012352422860333,2
0.68,4.149562565444256,2
0.6900000000000001,3.9343343634667645,2
0.7000000000000001,3.7037932987105413,2
0.71,3.845711453045476,2
0.72,3.845977429467588,2
0.73,3.6628984706128267,2
0.74,3.456730269986116,2
0.75,3.312480908926118,2
0.76,3.612036274078461,2
0.77,3.7691302402824,2
0.78,3.5782540660015143,2
0.79,3.4177381003170266,2
0.8,3.1508921456063366,2
0.81,3.124381683533066,2
0.8200000000000001,3.2467799507365007,2
0.8300000000000001,3.0730728842823978,2
0.84,3.7854937156607096,2
0.85,3.983679642907802,2
0.86,3.976195432434402,2
0.87,4.002679382576521,2
0.88,3.608186968016031,2
0.89,3.3076496173137784,2
0.9,3.751697603179989,2
0.91,4.239797829244158,2
0.92,3.58813466772657,2
0.93,3.7625944077223115,2
0.9400000000000001,4.177792436588966,2
0.9500000000000001,4.0631879398011375,2
0.96,4.487342365025523,2
0.97,4.656019511691498,2
0.98,4.718173240009405,2
0.99,4.577037339956928,2
1.0,4.545430965864714,2
1.01,4.364122763351369,2
1.02,4.411705230015491,2
1.03,4.442161249005567,2
1.04,4.274899087721382,2
1.05,3.6957589868312803,2
1.06,3.6709374166783304,2
1.07,3.415451241947972,2
1.08,3.1563311363158513,2
1.09,3.0452019313225396,2
1.1,3.3749610252171687,2
1.11,3.1226498528799405,2
1.12,2.9589557564513793,2
1.1300000000000001,3.2633092924693163,2
1.1400000000000001,3.1200488875484296,2
1.1500000000000001,2.888676189729799,2
1.16,3.228974927544923,2
1.17,3.2693961717697557,2
1.18,3.3609692138151597,2
1.19,3.3614441823924395,2
1.2,3.5452351287759565,2
1.21,3.7849255947948626,2
1.22,3.7715874421122515,2
1.23,3.3699612248760764,2
1.24,3.5172500350016707,2
1.25,3.469191594923891,2
1.26,3.7651655865130205,2
1.27,3.534897004663441,2
1.28,3.4923303596807997,2
1.29,3.1232423134401914,2
1.3,3.4328083128475315,2
1.31,3.8367039159873144,2
1.32,3.714769885749488,2
1.33,3.6883040013670914,2
1.34,3.49006847913065,2
1.35,3.3389764102012354,2
1.36,3.6015842363651536,2
1.37,3.4985853213409226,2
1.3800000000000001,3.6833502757492367,2
1.3900000000000001,3.7107001447343757,2
1.4000000000000001,3.952285774773232,2
1.41,3.845879584178785,2
1.42,4.168790686904919,2
1.43,4.683280116510922,2
1.44,4.1331946572630365,2
1.45,4.0937609997630044,2
1.46,4.058097082425853,2
1.47,3.8495055476281324,2
1.48,3.9800135256026645,2
1.49,4.299509228773242,2
1.5,3.7102625232076942,2
1.51,3.158502451851374,2
1.52,3.712248840351896,2
1.53,3.673137589379715,2
1.54,3.7311695836836747,2
1.55,3.455324482284425,2
1.56,3.5223524821829146,2
1.57,3.9579585649359728,2
1.58,4.1028138410990165,2
1.59,4.147142415762628,2
1.6,3.630937433549792,2
1.61,3.8782695754462653,2
1.62,3.893158854926726,2
1.6300000000000001,3.7315802606141046,2
1.6400000000000001,3.940463161680312,2
1.6500000000000001,3.706195172755798,2
1.6600000000000001,3.8944586678209134,2
1.67,4.249791166779526,2
1.68,4.268505390594455,2
1.69,4.121525128206876,2
1.7,3.9472658364956166,2
1.71,4.060964890980311,2
1.72,3.9324624279022413,2
1.73,4.609710057042465,2
1.74,4.1477963787956496,2
1.75,4.096251439161422,2
1.76,4.163853516607123,2
1.77,4.1909639850205025,2
1.78,4.012990207317769,2
1.79,4.360826199752781,2
1.8,4.513681966044643,2
1.81,4.67191643502386,2
1.82,4.415482440388402,2
1.83,4.259827230508673,2
1.84,4.372179477926484,2
1.85,4.023157059552542,2
1.86,4.209415124815991,2
1.87,4.159871466903182,2
1.8800000000000001,4.445514525392089,2
1.8900000000000001,4.279806292485746,2
1.9000000000000001,4.765833697393209,2
1.9100000000000001,4.80555751376436,2
1.92,4.872454941693657,2
1.93,4.588984304878352,2
1.94,4.601864386880935,2
1.95,4.386064586455193,2
1.96,3.9110331695950498,2
1.97,3.8644954895101375,2
1.98,4.207505147790136,2
1.99,4.168587529387544,2
2.0,4.068389192492201,2
2.0100000000000002,3.9744502098398713,2
2.02,4.612109369176219,2
2.0300000000000002,4.723281733019243,2
2.04,4.200459670435765,2
2.05,4.026525107576192,2
2.06,3.9103096764491077,2
2.07,3.7149402416972634,2
2.08,3.7616802860590077,2
2.09,3.622911715369348,2
2.1,3.515342876928789,2
2.11,3.607304808380593,2
2.12,3.2100439269842185,2
2.13,2.6795799198695542,2
2.14,3.1637487065898657,2
2.15,3.484584530433694,2
2.16,3.6406437507532265,2
2.17,3.7629005826770365,2
2.18,3.732989891176826,2
2.19,4.614199880186835,2
2.2,4.607449379195826,2
2.21,5.285652316616206,2
2.22,5.741539047460288,2
2.23,5.698183866052071,2
2.24,5.468869660851994,2
2.25,5.326519192146266,2
2.2600000000000002,5.080301557091899,2
2.27,5.102886352924219,2
2.2800000000000002,5.183502945480205,2
2.29,4.718305098815051,2
2.3000000000000003,5.387227229058066,2
2.31,5.027229952415849,2
2.32,4.163396101048431,2
2.33,4.123880855077016,2
2.34,3.7861068642048172,2
2.35,3.7923584803471626,2
2.36,3.833217739945106,2
2.37,3.9760568696095895,2
2.38,4.263438486592469,2
2.39,3.9516484027315864,2
2.4,3.853540163346787,2
2.41,4.060437729561189,2
2.42,3.8681300909348098,2
2.43,3.3493974290941777,2
2.44,3.5899495058813953,2
2.45,3.470802218715799,2
2.46,3.3447115657016213,2
2.47,3.4442585058947937,2
2.48,3.501005148732649,2
2.49,3.833445302856421,2
2.5,3.496207938862866,2
2.5100000000000002,4.187519530160611,2
2.52,3.768101232970534,2
2.5300000000000002,3.6814307526412438,2
2.54,3.4672102220113823,2
2.5500000000000003,3.5362253298721145,2
2.56,3.5879220403468643,2
2.57,3.676266364295247,2
2.58,3.7826819709054718,2
2.59,4.174553169819331,2
2.6,4.2014788740972,2
2.61,4.574692930128597,2
2.62,4.021286357458233,2
2.63,3.400272208432114,2
2.64,3.4962377608378308,2
2.65,3.6392612818018417,2
2.66,3.524077853185664,2
2.67,3.568797833642074,2
2.68,3.9165893605249074,2
2.69,4.114858668668195,2
2.7,4.009884493996546,2
2.71,4.064958122228617,2
2.72,4.273475693578142,2
2.73,3.897762276200035,2
2.74,3.679911229689112,2
2.75,3.9735326272781455,2
2.7600000000000002,3.4861159983111283,2
2.77,3.2285780374383743,2
2.7800000000000002,2.961939020817907,2
2.79,3.3257946609727504,2
2.8000000000000003,3.0858503592967748,2
2.81,3.401631077286418,2
2.82,3.361362672363028,2
2.83,3.9291842397050787,2
2.84,3.972624301410322,2
2.85,4.2776567926002915,2
2.86,4.3803239145591375,2
2.87,4.214558085863784,2
2.88,4.189547923975395,2
2.89,4.1729669516680605,2
2.9,4.024815041831616,2
2.91,4.2739030700090685,2
2.92,4.957838981803066,2
2.93,4.894879564550948,2
2.94,5.0084279362450665,2
2.95,5.057410206131401,2
2.96,4.212166576822368,2
2.97,4.330225013570983,2
2.98,4.4222982692275,2
2.99,4.02630852190044,2
3.0,3.5169421471647198,2
3.0100000000000002,3.6862713025398466,2
3.02,4.183800571027951,2
3.0300000000000002,4.060778391123808,2
3.04,3.9607303657139075,2
3.0500000000000003,4.618667059891246,2
3.06,4.810659477902734,2
3.0700000000000003,4.385557452704134,2
3.08,4.144987307346852,2
3.09,4.747940025075241,2
3.1,4.485290234663997,2
3.11,4.285680864234959,2
3.12,4.447123217878698,2
3.13,4.327748153530104,2
3.14,4.420608433396576,2
3.15,4.460111204437748,2
3.16,4.372977419740139,2
3.17,4.678322235620069,2
3.18,4.249167251263974,2
3.19,4.257540781318108,2
3.2,4.067389342345049,2
3.21,4.525868259320929,2
3.22,4.4238535740582625,2
3.23,4.926195370568985,2
3.24,4.714081888907937,2
3.25,4.673597189848512,2
3.2600000000000002,4.9145284977638735,2
3.27,4.552336548261993,2
3.2800000000000002,4.924673545262081,2
3.29,4.839605880938896,2
3.3000000000000003,4.872252176579306,2
3.31,4.939730095755147,2
3.3200000000000003,4.824208570930839,2
3.33,4.512348884102583,2
3.34,4.487812472193403,2
3.35,3.8691718415120633,2
3.36,3.510901708127481,2
3.37,3.5201164566731795,2
3.38,4.006513655547167,2
3.39,4.435693041234525,2
3.4,4.66963436876703,2
3.41,4.166612021448889,2
3.42,4.235165477374797,2
3.43,3.967814986340446,2
3.44,3.951990956386289,2
3.45,4.227229780135864,2
3.46,4.390903549108395,2
3.47,4.715374623930104,2
3.48,4.24456446591961,2
3.49,3.9303123877794355,2
3.5,4.364096944755748,2
3.5100000000000002,4.758852291177307,2
3.52,4.6783819038875265,2
3.5300000000000002,4.603923007250892,2
3.54,4.875821249719607,2
3.5500000000000003,4.939007083526971,2
3.56,5.016898624918726,2
3.5700000000000003,4.653182299078871,2
3.58,4.9135107272632315,2
3.59,4.76559008297967,2
3.6,4.294537213291371,2
3.61,4.04370627712397,2
3.62,3.870165813774231,2
3.63,4.301912943905671,2
3.64,4.0743460138373315,2
3.65,4.1759048615505145,2
3.66,3.560419422147419,2
3.67,3.8698007552465707,2
3.68,3.6585419523159013,2
3.69,3.8034186346144088,2
3.7,3.9336971978528834,2
3.71,4.119670955226144,2
3.72,4.2018556794181805,2
3.73,4.724110718864655,2
3.74,4.710840734167826,2
3.75,5.276829093949652,2
3.7600000000000002,5.329834021875377,2
